Title,Date,City,Location,Category,Source,Link
Shane Dougherty,"Thu, Apr 2 · 9:30 PM","Boston, MA","Bsmnt, Boston",Other,Resident Advisor,https://ra.co/events/2406633
Characters Hackathon,"Thu, Apr 2 · 9:30 PM","New York City, NY",New York,Outdoor & Fitness,Luma · Runway,https://lu.ma/characters-hackathon
MCP in the Wild: The Future of Data Agents in Production (NYC),"Thu, Apr 2 · 9:30 PM","New York City, NY","307 W 38th St #1505, New York, NY 10018",Other,Luma · ODSC AI (Open Data Scienc,https://lu.ma/e1y4c9jv
Purple Night,"Thu, Apr 2 · 10:00 PM","New York City, NY","Virgo, New York City",Other,Resident Advisor,https://ra.co/events/2385383
"Synthicide with JDH, Jumpr, Andi","Thu, Apr 2 · 10:00 PM","New York City, NY","Bossa Nova Civic Club, New York City",Other,Resident Advisor,https://ra.co/events/2389038
"Rinse and Repeat: Boydell, Liot, Kiefer Ian, tonton, J.N.R., Barris Fishman, Yedi","Thu, Apr 2 · 10:00 PM","New York City, NY","Mood Ring, New York City",Other,Resident Advisor,https://ra.co/events/2395680
KEEP ON - Trip Report / Joe Tagessian / STUSSMAN G,"Thu, Apr 2 · 10:00 PM","Boston, MA","Middlesex, Boston",Other,Resident Advisor,https://ra.co/events/2403954
elements - Rubix sendoff party with Mr. EyesLee & Glittrgrime,"Thu, Apr 2 · 10:00 PM","Boston, MA","Phoenix Landing, Boston",Other,Resident Advisor,https://ra.co/events/2407806
Boston Women in Fintech: AI is Changing Fintech. Who Gets to Shape it?,"Thu, Apr 2 · 10:00 PM","Boston, MA","200 Clarendon St, Boston, MA 02116",Other,Luma · Personal,https://lu.ma/pddii2ff
AI Content + Vibe Code Night,"Thu, Apr 2 · 10:00 PM","New York City, NY","42 Broadway ste 2060, New York, NY 10004",Other,Luma · Personal,https://lu.ma/94poavb2
"""Apple Face"" Vernissage","Thu, Apr 2 · 10:00 PM","New York City, NY","Mriya Gallery, 101 Reade St, New York",Culture & Learning,Luma · Personal,https://lu.ma/3immmzjf
Harnesses: Engineering AI Reading Group,"Thu, Apr 2 · 10:00 PM","New York City, NY",New York,Other,Luma · New York AI Labs,https://lu.ma/v2c24jy4
